0;1,39
100;1,85
200;1,65
300;2,33
400;1,87
500;2,04
600;1,86
700;1,68
800;2,34
900;1,74
1000;2,13
1100;1,83
1200;1,99
1300;2,14
1400;2,19
1500;1,78
1600;1,73
1700;1,91
1800;2,35
1900;2,17
2000;1,94
2100;1,83
2200;2,14
2300;2,56
2400;2,14
2500;2,24
2600;2,12
2700;1,91
2800;1,84
2900;2,25
3000;2,22
3100;2,16
3200;2,03
3300;1,74
3400;2,41
3500;2,5
3600;2,29
3700;2,3
3800;1,98
3900;2,02
4000;1,96
4100;2,09
4200;1,99
4300;2,13
4400;2,46
4500;2,28
4600;2,1
4700;2,27
4800;2,26
4900;2,6
5000;1,81
5100;2,56
5200;2,46
5300;2,63
5400;2,47
5500;2,64
5600;2,48
5700;2,46
5800;2,32
5900;2,59
6000;2,35
6100;2,21
6200;2,59
6300;2,73
6400;2,23
6500;2,71
6600;2,76
6700;2,49
6800;2,74
6900;2,29
7000;2,84
7100;2,59
7200;2,08
7300;2,57
7400;2,64
7500;2,41
7600;2,74
7700;2,19
7800;2,36
7900;2,24
8000;2,23
8100;2,2
8200;2,67
8300;2,32
8400;2,28
8500;1,98
8600;2,12
8700;2,21
8800;2,2
8900;2,37
9000;2,56
9100;1,78
9200;2,27
9300;2,31
9400;2,29
9500;2,35
9600;2,19
9700;2,51
9800;2,23
9900;2,37
10000;2,34
10100;2,28
10200;2,28
10300;2,31
10400;1,91
10500;2,19
10600;2,42
10700;2,61
10800;2,18
10900;2,11
11000;2,51
11100;1,96
11200;1,89
11300;2,78
11400;2,27
11500;2,61
11600;2,12
11700;2,2
11800;2,23
11900;2,05
12000;2,65
12100;2,8
12200;2,87
12300;2,08
12400;2,41
12500;2,12
12600;1,91
12700;2,15
12800;2,09
12900;2,13
13000;2,47
13100;1,97
13200;2,08
13300;2,74
13400;1,87
13500;2,08
13600;2,61
13700;1,93
13800;1,61
13900;2,25
14000;2,36
14100;1,97
14200;1,98
14300;2,3
14400;2,37
14500;2,24
14600;2,22
14700;2,44
14800;2,15
14900;1,95
15000;1,57
15100;2,39
15200;3,33
15300;3,14
15400;2,26
15500;2,71
15600;3,51
15700;2,98
15800;2,7
15900;2,72
16000;3,14
16100;3,2
16200;2,72
16300;2,47
16400;2,71
16500;3,76
16600;3,54
16700;3,0
16800;2,54
16900;2,63
17000;2,87
17100;2,6
17200;2,33
17300;3,25
17400;2,39
17500;2,68
17600;3,02
17700;2,92
17800;2,73
17900;3,08
18000;2,74
18100;2,5
18200;3,16
18300;2,09
18400;2,73
18500;2,82
18600;3,42
18700;3,03
18800;2,52
18900;2,34
19000;2,63
19100;2,85
19200;3,62
19300;3,49
19400;2,91
19500;2,84
19600;3,29
19700;3,43
19800;2,83
19900;3,31
20000;3,08
20100;3,24
20200;3,58
20300;3,31
20400;2,94
20500;2,93
20600;3,22
20700;3,14
20800;3,38
20900;3,81
21000;3,15
21100;3,75
21200;3,75
21300;3,67
21400;3,54
21500;3,63
21600;3,67
21700;3,18
21800;4,06
21900;3,12
22000;3,96
22100;3,79
22200;3,45
22300;3,35
22400;3,55
22500;3,28
22600;3,35
22700;3,83
22800;3,77
22900;3,27
23000;3,77
23100;3,25
23200;3,61
23300;3,29
23400;3,79
23500;3,08
23600;3,92
23700;3,8
23800;2,84
